,title,abstract,intro
11,Deep contextualized word representations,"we introduce anew type of deep contextualized word representation that models both complex characteristics of word use , and how these uses vary across linguistic contexts . our word vectors are learned functions of the internal states of a deep bidirectional language model , which is pretrained on a large text corpus. we show that these representations can be easily added to existing models and significantly improve the state of the art across six challenging nlp problems, including question answering, textual entailment and sentiment analysis. we also present an analysis showing that exposing the deep internals of the pre-trained network is crucial, allowing downstream models to mix different types of semi-supervision signals.introduction","pre-trained word representations area key component in many neural language understanding models. however, learning high quality representations can be challenging. they should ideally model both complex characteristics of word use , and how these uses vary across linguistic contexts . in this paper, we introduce anew type of deep contextualized word representation that directly addresses both challenges, can be easily integrated into existing models, and significantly improves the state of the art in every considered case across a range of challenging language understanding problems.our representations differ from traditional word type embeddings in that each token is assigned a representation that is a function of the entire input sentence. we use vectors derived from a bidirectional lstm that is trained with a coupled lan-guage model objective on a large text corpus. for this reason, we call them elmo representations. unlike previous approaches for learning contextualized word vectors, elmo representations are deep, in the sense that they area function of all of the internal layers of the bilm. more specifically, we learn a linear combination of the vectors stacked above each input word for each end task, which markedly improves performance over just using the top lstm layer.combining the internal states in this manner allows for very rich word representations. using intrinsic evaluations, we show that the higher-level lstm states capture context-dependent aspects of word meaning while lowerlevel states model aspects of syntax . simultaneously exposing all of these signals is highly beneficial, allowing the learned models select the types of semi-supervision that are most useful for each end task.extensive experiments demonstrate that elmo representations work extremely well in practice. we first show that they can be easily added to existing models for six diverse and challenging language understanding problems, including textual entailment, question answering and sentiment analysis. the addition of elmo representations alone significantly improves the state of the art in every case, including up to 20% relative error reductions. for tasks where direct comparisons are possible, elmo outperforms cove, which computes contextualized representations using a neural machine translation encoder. finally, an analysis of both elmo and cove reveals that deep representations outperform arxiv:1802.05365v2 22 mar 2018 those derived from just the top layer of an lstm. our trained models and code are publicly available, and we expect that elmo will provide similar gains for many other nlp problems. 1 2 related work due to their ability to capture syntactic and semantic information of words from large scale unlabeled text, pretrained word vectors area standard component of most state-ofthe-art nlp architectures, including for question answering, textual entailment and semantic role labeling. however, these approaches for learning word vectors only allow a single contextindependent representation for each word.previously proposed methods overcome some of the shortcomings of traditional word vectors by either enriching them with subword information uses a bidirectional long short term memory to encode the context around a pivot word. other approaches for learning contextual embeddings include the pivot word itself in the representation and are computed with the encoder of either a supervised neural machine translation system or an unsupervised language model. both of these approaches benefit from large datasets, although the mt approach is limited by the size of parallel corpora. in this paper, we take full advantage of access to plentiful monolingual data, and train our bilm on a corpus with approximately 30 million sentences. we also generalize these approaches to deep contextual representations, which we show work well across abroad range of diverse nlp tasks. 1 link previous work has also shown that different layers of deep birnns encode different types of information. for example, introducing multi-task syntactic supervision at the lower levels of a deep lstm can improve overall performance of higher level tasks such as dependency parsing or ccg super tagging. in an rnn-based encoder-decoder machine translation system, showed that the representations learned at the first layer in a 2layer lstm encoder are better at predicting pos tags then second layer. finally, the top layer of an lstm for encoding word context has been shown to learn representations of word sense. we show that similar signals are also induced by the modified language model objective of our elmo representations, and it can be very beneficial to learn models for downstream tasks that mix these different types of semi-supervision. and pretrain encoder-decoder pairs using language models and sequence autoencoders and then fine tune with task specific supervision. in contrast, after pretraining the bilm with unlabeled data, we fix the weights and add additional taskspecific model capacity, allowing us to leverage large, rich and universal bilm representations for cases where downstream training data size dictates a smaller supervised model."
12,Sentence-State LSTM for Text Representation,"bi-directional lstms area powerful tool for text representation. on the other hand, they have been shown to suffer various limitations due to their sequential nature. we investigate an alternative lstm structure for encoding text, which consists of a parallel state for each word. recurrent steps are used to perform local and global information exchange between words simultaneously, rather than incremental reading of a sequence of words. results on various classification and sequence labelling benchmarks show that the proposed model has strong representation power, giving highly competitive performances compared to stacked bilstm models with similar parameter numbers.introduction","neural models have become the dominant approach in the nlp literature. compared to handcrafted indicator features, neural sentence representations are less sparse, and more flexible in encoding intricate syntactic and semantic information. among various neural networks for encoding sentences, bi-directional lstms have been a dominant method, giving state-of-the-art results in language modelling, machine translation, syntactic parsing and question answering.despite their success, bilstms have been shown to suffer several limitations. for example, their inherently sequential nature endows computation non-parallel within the same sentence, which can lead to a computational bottleneck, hindering their use in the in- dustry. in addition, local ngrams, which have been shown a highly useful source of contextual information for nlp, are not explicitly modelled. finally, sequential information flow leads to relatively weaker power in capturing longrange dependencies, which results in lower performance in encoding longer sentences.we investigate an alternative recurrent neural network structure for addressing these issues. as shown in, the main idea is to model the hidden states of all words simultaneously at each recurrent step, rather than one word at a time. in particular, we view the whole sentence as a single state, which consists of sub-states for individual words and an overall sentence-level state. to capture local and non-local contexts, states are updated recurrently by exchanging information between each other. consequently, we refer to our model as sentence-state lstm, or s-lstm in short. empirically, s-lstm can give effective sentence encoding after 3 -6 recurrent steps. in contrast, the number of recurrent steps necessary for bilstm scales with the size of the sentence.at each recurrent step, information exchange is conducted between consecutive words in the sentence, and between the sentence-level state and each word. in particular, each word receives information from its predecessor and successor simultaneously. from an initial state without information exchange, each word-level state can obtain 3-gram, 5-gram and 7-gram information after 1, 2 and 3 recurrent steps, respectively. being connected with every word, the sentence-level state vector serves to exchange non-local information with each word. in addition, it can also be used as a global sentence-level representation for classification tasks.results on both classification and sequence labelling show that s-lstm gives better accuracies compared to bilstm using the same number of parameters, while being faster. we release our code and models at link leuchine/s-lstm, which include all baselines and the final model."
13,Robust Lexical Features for Improved Neural Network Named-Entity Recognition,"neural network approaches to named-entity recognition reduce the need for carefully handcrafted features. while some features do remain in state-of-the-art systems, lexical features have been mostly discarded, with the exception of gazetteers. in this work, we show that this is unfair: lexical features are actually quite useful. we propose to embed words and entity types into a lowdimensional vector space we train from annotated data produced by distant supervision thanks to wikipedia. from this, we compute -offline -a feature vector representing each word. when used with a vanilla recurrent neural network model, this representation yields substantial improvements. we establish anew state-of-the-art f1 score of 87.95 on ontonotes 5.0, while matching state-of-the-art performance with a f1 score of 91.73 on the over-studied conll-2003 dataset.this work is licensed under a creative commons attribution 4.0 international license. license details:introduction","named-entity recognition is the task of identifying textual mentions and classifying them into a predefined set of types. various approaches have been proposed to tackle the task, from hand-crafted feature-based machine learning models like conditional random fields and perceptron, to deep neural models.word representations, also known as word embeddings, area key element for multiple nlp tasks including ner. due to the small amount of named-entity annotated data, embeddings are used to extend, rather than replace, hand-crafted features in order to obtain state-of-the-art performance. recent studies have explored methods for supplying deep sequential taggers with complementary features to standard embeddings. and tested special embeddings extracted from a neural language model trained on a large corpus. lm embeddings capture context-dependent aspects of word meaning using future and previous context words. when this information is added to standard features, it leads to significant improvements in ner. also, showed that external knowledge resources are crucial to ner performance. gazetteer features encode the presence of word n-grams in predefined lists of nes.in this work, we discuss some of the limitations of gazetteer features and propose an alternative lexical representation which is trained offline and that can be added to any neural ner system. ina nutshell, we embed words and entity types into a joint vector space by leveraging wifine, a ressource which automatically annotates mentions in wikipedia with 120 entity types. from this vector space, we compute for each word a 120-dimensional vector, where each dimension encodes the similarity of the word with an entity type. we call this vector an ls representation, for lexical similarity. when included in a vanilla lstm-crf ner model, ls representations lead to significant gains. we establish anew state-of-the-art f1 score of 87.95 on ontonotes 5.0, while matching state-of-the-art performance on the over-studied in the rest of this paper, we motivate our work in section 2. we describe how we compute ls vectors in section 3. we present our system in section 4 and report results in section 5. in section 6, we discuss related works before concluding in section 7."
14,A Neural Transition-based Model for Nested Mention Recognition,"it is common that entity mentions can contain other mentions recursively. this paper introduces a scalable transition-based method to model the nested structure of mentions. we first map a sentence with nested mentions to a designated forest where each mention corresponds to a constituent of the forest. our shiftreduce based system then learns to construct the forest structure in a bottom-up manner through an action sequence whose maximal length is guaranteed to be three times of the sentence length. based on stack-lstm which is employed to efficiently and effectively represent the states of the system in a continuous space, our system is further incorporated with a character-based component to capture letterlevel patterns. our model achieves the stateof-the-art results on ace datasets, showing its effectiveness in detecting nested mentions. 1introduction","there has been an increasing interest in named entity recognition or more generally recognizing entity mentions 2) that the nested hierarchical structure of entity mentions should betaken into account to better facilitate downstream tasks like question answering, relation extraction, event extraction, and coreference resolution. practically, the mentions with nested structures frequently exist in news and biomedical documents. for example in traditional sequence labeling models such as conditional random fields do not allow hierarchical structures between segments, making them incapable to handle such problems. presented a chart-based parsing approach where each sentence with nested mentions is mapped to a rooted constituent tree. the issue of using a chart-based parser is its cubic time complexity in the number of words in the sentence.to achieve a scalable and effective solution for recognizing nested mentions, we design a transition-based system which is inspired by the recent success of employing transition-based methods for constituent parsing) and named entity recognition, especially when they are paired with neural networks. generally, each sentence with nested mentions is mapped to a forest where each outermost mention forms a tree consisting of its inner mentions. then our transition-based system learns to construct this forest through a sequence of shift-reduce actions. shows an example of such a forest. in contrast, the tree structure by further uses a root node to connect all tree elements. our forest representation eliminates the root node so that the number of actions required to construct it can be reduced significantly.following, we employ stack-lstm to represent the system's state, which consists of the states of input, stack and action history, in a continuous space incrementally. the processed nested mentions in the stack are encoded with recursive neural networks where composition functions are used to capture dependencies between nested mentions. based on the observation that letter-level patterns such as capitalization and prefix can be beneficial in detecting mentions, we incorporate a characterlevel lstm to capture such morphological information. meanwhile, this character-level component can also help deal with the out-of-vocabulary problem of neural models. we conduct experiments in three standard datasets. our system achieves the state-of-the-art performance on ace datasets and comparable performance in genia dataset."
15,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"we introduce anew language representation model called bert, which stands for bidirectional encoder representations from transformers. unlike recent language representation models , bert is designed to pretrain deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. as a result, the pre-trained bert model can be finetuned with just one additional output layer to create state-of-the-art models fora wide range of tasks, such as question answering and language inference, without substantial taskspecific architecture modifications.bert is conceptually simple and empirically powerful. it obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the glue score to 80.5% , multinli accuracy to 86.7% , squad v1.1 question answering test f1 to 93.2 and squad v2.0 test f1 to 83.1 .jeremy howard and sebastian ruder. 2018. universal language model fine-tuning for text classification. in acl. association for computational linguistics.introduction","language model pre-training has been shown to be effective for improving many natural language processing tasks. these include sentence-level tasks such as natural language inference and paraphrasing, which aim to predict the relationships between sentences by analyzing them holistically, as well as token-level tasks such as named entity recognition and question answering, where models are required to produce fine-grained output at the token level.there are two existing strategies for applying pre-trained language representations to downstream tasks: feature-based and fine-tuning. the feature-based approach, such as elmo, uses task-specific architectures that include the pre-trained representations as additional features. the fine-tuning approach, such as the generative pre-trained transformer , introduces minimal task-specific parameters, and is trained on the downstream tasks by simply fine-tuning all pretrained parameters. the two approaches share the same objective function during pre-training, where they use unidirectional language models to learn general language representations.we argue that current techniques restrict the power of the pre-trained representations, especially for the fine-tuning approaches. the major limitation is that standard language models are unidirectional, and this limits the choice of architectures that can be used during pre-training. for example, in openai gpt, the authors use a left-toright architecture, where every token can only attend to previous tokens in the self-attention layers of the transformer. such restrictions are sub-optimal for sentence-level tasks, and could be very harmful when applying finetuning based approaches to token-level tasks such as question answering, where it is crucial to incorporate context from both directions.in this paper, we improve the fine-tuning based approaches by proposing bert: bidirectional encoder representations from transformers. bert alleviates the previously mentioned unidirectionality constraint by using a ""masked language model"" pre-training objective, inspired by the cloze task. the masked language model randomly masks some of the tokens from the input, and the objective is to predict the original vocabulary id of the masked word based only on its context. unlike left-toright language model pre-training, the mlm objective enables the representation to fuse the left and the right context, which allows us to pretrain a deep bidirectional transformer. in addition to the masked language model, we also use a ""next sentence prediction"" task that jointly pretrains text-pair representations. the contributions of our paper are as follows: we demonstrate the importance of bidirectional pre-training for language representations. unlike, which uses unidirectional language models for pre-training, bert uses masked language models to enable pretrained deep bidirectional representations. this is also in contrast to, which uses a shallow concatenation of independently trained left-to-right and right-to-left lms. we show that pre-trained representations reduce the need for many heavily-engineered taskspecific architectures. bert is the first finetuning based representation model that achieves state-of-the-art performance on a large suite of sentence-level and token-level tasks, outperforming many task-specific architectures. bert advances the state of the art for eleven nlp tasks. the code and pre-trained models are available at link google-research/bert."
16,Data and text mining BioBERT: a pre-trained biomedical language representation model for biomedical text mining,"motivation: biomedical text mining is becoming increasingly important as the number of biomedical documents rapidly grows. with the progress in natural language processing , extracting valuable information from biomedical literature has gained popularity among researchers, and deep learning has boosted the development of effective biomedical text mining models. however, directly applying the advancements in nlp to biomedical text mining often yields unsatisfactory results due to a word distribution shift from general domain corpora to biomedical corpora. in this article, we investigate how the recently introduced pre-trained language model bert can be adapted for biomedical corpora. results: we introduce biobert , which is a domain-specific language representation model pre-trained on large-scale biomedical corpora. with almost the same architecture across tasks, biobert largely outperforms bert and previous state-of-the-art models in a variety of biomedical text mining tasks when pre-trained on biomedical corpora. while bert obtains performance comparable to that of previous state-of-the-art models, biobert significantly outperforms them on the following three representative biomedical text mining tasks: biomedical named entity recognition , biomedical relation extraction and biomedical question answering . our analysis results show that pre-training bert on biomedical corpora helps it to understand complex biomedical texts. availability and implementation: we make the pre-trained weights of biobert freely available at https://github. com/naver/biobert-pretrained, and the source code for fine-tuningintroduction","the volume of biomedical literature continues to rapidly increase. on average, more than 3000 new articles are published everyday in peer-reviewed journals, excluding pre-prints and technical reports such as clinical trial reports in various archives. pubmed alone has a total of 29m articles as of january 2019. reports containing valuable information about new discoveries and new insights are continuously added to the already overwhelming amount of literature. consequently, there is increasingly more demand for accurate biomedical text mining tools for extracting information from the literature.recent progress of biomedical text mining models was made possible by the advancements of deep learning techniques used in natural language processing . for instance, long short-term memory and conditional random field have greatly improved performance in biomedical named entity recognition over the last few years. other deep learning based models have made improvements in biomedical text mining tasks such as relation extraction and question answering .however, directly applying state-of-the-art nlp methodologies to biomedical text mining has limitations. first, as recent word representation models such as word2vec, elmo and bert are trained and tested mainly on datasets containing general domain texts , it is difficult to estimate their performance on datasets containing biomedical texts. also, the word distributions of general and biomedical corpora are quite different, which can often be a problem for biomedical text mining models. as a result, recent models in biomedical text mining rely largely on adapted versions of word representations.in this study, we hypothesize that current state-of-the-art word representation models such as bert need to be trained on biomedical corpora to be effective in biomedical text mining tasks. previously, word2vec, which is one of the most widely known context independent word representation models, was trained on biomedical corpora which contain terms and expressions that are usually not included in a general domain corpus. while elmo and bert have proven the effectiveness of contextualized word representations, they cannot obtain high performance on biomedical corpora because they are pre-trained on only general domain corpora. as bert achieves very strong results on various nlp tasks while using almost the same structure across the tasks, adapting bert for the biomedical domain could potentially benefit numerous biomedical nlp researches."
17,Open Question Answering with Weakly Supervised Embedding Models,"building computers able to answer questions on any subject is along standing goal of artificial intelligence. promising progress has recently been achieved by methods that learn to map questions to logical forms or database queries. such approaches can be effective but at the cost of either large amounts of human-labeled data or by defining lexicons and grammars tailored by practitioners. in this paper, we instead take the radical approach of learning to map questions to vectorial feature representations. by mapping answers into the same space one can query any knowledge base independent of its schema, without requiring any grammar or lexicon. our method is trained with anew optimization procedure combining stochastic gradient descent followed by a fine-tuning step using the weak supervision provided by blending automatically and collaboratively generated resources. we empirically demonstrate that our model can capture meaningful signals from its noisy supervision leading to major improvements over paralex, the only existing method able to be trained on similar weakly labeled data.introduction","this paper addresses the challenging problem of open-domain question answering, which consists of building systems able to answer questions from any domain. any advance on this difficult topic would bring a huge leap forward in building new ways of accessing knowledge. an important development in this area has been the creation of large-scale knowledge bases , such as freebase and dbpedia which store huge amounts of general-purpose information. they are organized as databases of triples connecting pairs of entities by various relationships and of the form . question answering is then defined as the task of retrieving the correct entity or set of entities from a kb given a query expressed as a question in natural language.the use of kbs simplifies the problem by separating the issue of collecting and organizing information from the one of searching through it . however, open question answering remains challenging because of the scale of these kbs and of the difficulty for machines to interpret natural language. recent progress has been made by tackling this problem with semantic parsers. these methods convert questions into logical forms or database queries which are then subsequently used to query kbs for answers. even if such systems have shown the ability to handle large-scale kbs, they require practitioners to hand-craft lexicons, grammars, and kb schema for the parsing to be effective. this nonnegligible human intervention might not be generic enough to conveniently scale up to new databases with other schema, broader vocabularies or other languages than english.in this paper, we instead take the approach of converting questions to vectorial representations which require no pre-defined grammars or lexicons and can query any kb independent of its schema. following, we focus on answering simple factual questions on abroad range of topics, more specifically, those for which single kb triples stand for both the question and an answer . for example, stands for what is parrotfish's habitat? and southern-water.e and for what is the main language of hong-kong? and cantonese.e. in this task, the main difficulties come from lexical variability rather than from complex syntax, having multiple answers per question, and the absence of a supervised training signal.our approach is based on learning low-dimensional vector embeddings of words and of kb triples so that representations of questions and corresponding answers end up being similar in the embedding space. unfortunately, we do not have access to any human labeled supervision for this task. in order to avoid transferring the cost of manual intervention to the one of labeling large amounts of data, we make use of weak supervision. we show empirically that our model is able to take advantage of noisy and indirect supervision by automatically generating questions from kb triples and treating this as training data; and supplementing this with a data set of questions collaboratively marked as paraphrases but with no associated answers. we end up learning meaningful vectorial representations for questions involving up to 800k words and for triples of an mostly automatically created kb with 2.4m entities and 600k relationships. our method strongly outperforms previous results on the wikianswers+reverb evaluation data set introduced by. even if the embeddings obtained after training are of good quality, the scale of the optimization problem makes it hard to control and to lead to convergence. thus, we propose a method to fine-tune embedding-based models by carefully optimizing a matrix parameterizing the similarity used in the embedding space, leading to a consistent improvement in performance.the rest of the paper is organized as follows. section 2 discusses some previous work and section 3 introduces the problem of open question answering. then, section 4 presents our model and section 5 our experimental results."
18,Convolutional Neural Network Architectures for Matching Natural Language Sentences,"semantic matching is of central importance to many natural language tasks . a successful matching algorithm needs to adequately model the internal structures of language objects and the interaction between them. as a step toward this goal, we propose convolutional neural network models for matching two sentences, by adapting the convolutional strategy in vision and speech. the proposed models not only nicely represent the hierarchical structures of sentences with their layerby-layer composition and pooling, but also capture the rich matching patterns at different levels. our models are rather generic, requiring no prior knowledge on language, and can hence be applied to matching tasks of different nature and in different languages. the empirical study on a variety of matching tasks demonstrates the efficacy of the proposed model on a variety of matching tasks and its superiority to competitor models.introduction","matching two potentially heterogenous language objects is central to many natural language applications. it generalizes the conventional notion of similarity or relevance , since it aims to model the correspondence between ""linguistic objects"" of different nature at different levels of abstractions. examples include top-k re-ranking in machine translation and dialogue . natural language sentences have complicated structures, both sequential and hierarchical, that are essential for understanding them. a successful sentence-matching algorithm therefore needs to capture not only the internal structures of sentences but also the rich patterns in their interactions. towards this end, we propose deep neural network models, which adapt the convolutional strategy to natural language. to further explore the relation between representing sentences and matching them, we devise a novel model that can naturally host both the hierarchical composition for sentences and the simple-to-comprehensive fusion of matching patterns with the same convolutional architecture. our model is generic, requiring no prior knowledge of natural language and putting essentially no constraints on the matching tasks. this is part of our continuing effort 1 in understanding natural language objects and the matching between them.our main contributions can be summarized as follows. first, we devise novel deep convolutional network architectures that can naturally combine 1) the hierarchical sentence modeling through layer-by-layer composition and pooling, and 2) the capturing of the rich matching patterns at different levels of abstraction; second, we perform extensive empirical study on tasks with different scales and characteristics, and demonstrate the superior power of the proposed architectures over competitor methods.roadmap we start by introducing a convolution network in section 2 as the basic architecture for sentence modeling, and how it is related to existing sentence models. based on that, in section 3, we propose two architectures for sentence matching, with a detailed discussion of their relation. in section 4, we briefly discuss the learning of the proposed architectures. then in section 5, we report our empirical study, followed by a brief discussion of related work in section 6."
19,Large-scale Simple Question Answering with Memory Networks,"training large-scale question answering systems is complicated because training sources usually cover a small portion of the range of possible questions. this paper studies the impact of multitask and transfer learning for simple question answering; a setting for which the reasoning required to answer is quite easy, as long as one can retrieve the correct evidence given a question, which can be difficult in large-scale conditions. to this end, we introduce anew dataset of 100k questions that we use in conjunction with existing benchmarks. we conduct our study within the framework of memory networks because this perspective allows us to eventually scale up to more complex reasoning, and show that memory networks can be successfully trained to achieve excellent performance.introduction","open-domain question answering systems aim at providing the exact answer to questions formulated in natural language, without restriction of domain. while there is along history of qa systems that search for textual documents or on the web and extract answers from them , recent progress has been made with the release of large knowledge bases such as freebase, which contain consolidated knowledge stored as atomic facts, and extracted from different sources, such as free text, tables in webpages or collaborative input. existing approaches for qa from kbs use learnable components to either transform the question into a structured kb query or learn to embed questions and facts in a low dimensional vector space and retrieve the answer by computing similarities in this embedding space. however, while most recent efforts have focused on designing systems with higher reasoning capabilities, that could jointly retrieve and use multiple facts to answer, the simpler problem of answering questions that refer to a single fact of the kb, which we call simple question answering in this paper, is still far from solved.hence, existing benchmarks are small; they mostly cover the head of the distributions of facts, and are restricted in their question types and their syntactic and lexical variations. as such, it is still unknown how much the existing systems perform outside the range of the specific question templates of a few, small benchmark datasets, and it is also unknown whether learning on a single dataset transfers well on other ones, and whether such systems can learn from different training sources, which we believe is necessary to capture the whole range of possible questions.besides, the actual need for reasoning, i.e. constructing the answer from more than a single fact from the kb, depends on the actual structure of the kb. as we shall see, for instance, a simple preprocessing of freebase tremendously increases the coverage of simple qa in terms of possible questions that can be answered with a single fact, including list questions that expect more than a single answer. in fact, the task of simple qa itself might already cover a wide range of practical usages, if the kb is properly organized. this paper presents two contributions. first, as an effort to study the coverage of existing systems and the possibility to train jointly on different data sources via multitasking, we collected the first large-scale dataset of questions and answers based on a kb, called simplequestions. this dataset, which is presented in section 2, contains more than 100k questions written by human anno-what american cartoonist is the creator of andy lippincott? which forest is fires creek in? what is an active ingredient in childrens earache relief ? tators and associated to freebase facts, while the largest existing benchmark, webquestions, contains less than 6k questions created automatically using the google suggest api.second, in sections 3 and 4, we present an embedding-based qa system developed under the framework of memory networks . memory networks are learning systems centered around a memory component that can be read and written to, with a particular focus on cases where the relationship between the input and response languages and the storage language is performed by embedding all of them in the same vector space. the setting of the simple qa corresponds to the elementary operation of performing a single lookup in the memory. while our model bares similarity with previous embedding models for qa, using the framework of memnns opens the perspective to more involved inference schemes in future work, since memnns were shown to perform well on complex reasoning toy qa tasks. we discuss related work in section 5.we report experimental results in section 6, where we show that our model achieves excellent results on the benchmark webquestions. we also show that it can learn from two different qa datasets to improve its performance on both. we also present the first successful application of transfer learning for qa. using the reverb kb and qa datasets, we show that reverb facts can be added to the memory and used to answer without retraining, and that memnns achieve better results than some systems designed on this dataset."
20,A Parallel-Hierarchical Model for Machine Comprehension on Sparse Data,"understanding unstructured text is a major goal within natural language processing. comprehension tests pose questions based on short text passages to evaluate such understanding. in this work, we investigate machine comprehension on the challenging mctest benchmark. partly because of its limited size, prior work on mctest has focused mainly on engineering better features. we tackle the dataset with a neural approach, harnessing simple neural networks arranged in a parallel hierarchy. the parallel hierarchy enables our model to compare the passage, question, and answer from a variety of trainable perspectives, as opposed to using a manually designed, rigid feature set. perspectives range from the word level to sentence fragments to sequences of sentences; the networks operate only on word-embedding representations of text. when trained with a methodology designed to help cope with limited training data, our parallel-hierarchical model sets anew state of the art for mctest, outperforming previous feature-engineered approaches slightly and previous neural approaches by a significant margin .introduction","humans learn in a variety of ways-by communication with each other, and by study, the reading of text. comprehension of unstructured text by machines, at a near-human level, is a major goal for natural language processing. it has garnered significant attention from the machine learning research community in recent years.machine comprehension is evaluated by posing a set of questions based on a text passage . such tests are objectively gradable and can be used to assess a range of abilities, from basic understanding to causal reasoning to inference. given a text passage and a question about its content, a system is tested on its ability to determine the correct answer. in this work, we focus on mctest, a complex but data-limited comprehension benchmark, whose multiple-choice questions require not only extraction but also inference and limited reasoning. inference and reasoning are important human skills that apply broadly, beyond language.we present a parallel-hierarchical approach to machine comprehension designed to work well in a data-limited setting. there are many use-cases in which comprehension over limited data would be handy: for example, user manuals, internal documentation, legal contracts, and soon. moreover, work towards more efficient learning from any quantity of data is important in its own right, for bringing machines more inline with the way humans learn. typically, artificial neural networks require numerous parameters to capture complex patterns, and the more parameters, the more training data is required to tune them. likewise, deep models learn to extract their own features, but this is a data-intensive process. our model learns to comprehend at a high level even when data is sparse.the key to our model is that it compares the question and answer candidates to the text using several distinct perspectives. we refer to a question combined with one of its answer candidates as a hypothesis . the semantic perspective compares the hypothesis to sentences in the text viewed as single, self-contained thoughts; these are represented using a sum and transformation of word embedding vectors, similarly to in . the word-by-word perspective focuses on similarity matches between individual words from hypothesis and text, at various scales. as in the semantic perspective, we consider matches over complete sentences. we also use a sliding window acting on a subsentential scale , which implicitly considers the linear distance between matched words. finally, this word-level sliding window operates on two different views of text sentences: the sequential view, where words appear in their natural order, and the dependency view, where words are reordered based on a linearization of the sentence's dependency graph. words are represented throughout by embedding vectors. these distinct perspectives naturally form a hierarchy that we depict in. language is hierarchical, so it makes sense that comprehension relies on hierarchical levels of understanding.the perspectives of our model can be considered a type of feature. however, they are implemented by parametric differentiable functions. this is in contrast to most previous efforts on mctest, whose numerous hand-engineered features cannot be trained. our model, significantly, can be trained end-to-end with backpropagation. to facilitate learning with limited data, we also develop a unique training scheme. we initialize the model's neural networks to perform specific heuristic functions that yield decent performance on the dataset. thus, the training scheme gives the model a safe, reasonable baseline from which to start learning. we call this technique training wheels.computational models that comprehend have developed contemporaneously in several research groups. models designed specifically for mctest include those of, and more recently,, and. in experiments, our parallel-hierarchical model achieves state-of-the-art accuracy on mctest, outperforming these existing methods.below we describe related work, the mathematical details of our model, and our experiments, then analyze our results."
