,0
10,"due to their simplicity and efficacy, pre-trained word embedding have become ubiquitous in nlp systems. many prior studies have shown that they capture useful semantic and syntactic information and including them in nlp systems has been shown to be enormously helpful fora variety of downstream tasks.however, in many nlp tasks it is essential to represent not just the meaning of a word, but also the word in context. for example, in the two phrases ""a central bank spokesman"" and ""the central african republic"", the word 'central' is used as part of both an organization and location. accordingly, current state of the art sequence tagging models typically include a bidirectional re-current neural network that encodes token sequences into a context sensitive representation before making token specific predictions.although the token representation is initialized with pre-trained embeddings, the parameters of the bidirectional rnn are typically learned only on labeled data. previous work has explored methods for jointly learning the bidirectional rnn with supplemental labeled data from other tasks , pre-trained on a large, unlabeled corpus to compute an encoding of the context at each position in the sequence and use it in the supervised sequence tagging model. since the lm embeddings are used to compute the probability of future words in a neural lm, they are likely to encode both the semantic and syntactic roles of words in context.our main contribution is to show that the context sensitive representation captured in the lm embeddings is useful in the supervised sequence tagging setting. when we include the lm embeddings in our system overall performance increases from 90.87% to 91.93% f 1 for the conll 2003 ner task, a more then 1% absolute f1 increase, and a substantial improvement over the previous state of the art. we also establish anew state of the art result for the conll 2000 chunking task.as a secondary contribution, we show that using both forward and backward lm embeddings boosts performance over a forward only lm. we also demonstrate that domain specific pre-training is not necessary by applying a lm trained in the news domain to scientific papers. the main components in our language-modelaugmented sequence tagger are illustrated in. after pre-training word embeddings and a neural lm on large, unlabeled corpora , we extract the word and lm embeddings for every token in a given input sequencestep 2) and use them in the supervised sequence tagging model ."
11,"pre-trained word representations area key component in many neural language understanding models. however, learning high quality representations can be challenging. they should ideally model both complex characteristics of word use , and how these uses vary across linguistic contexts . in this paper, we introduce anew type of deep contextualized word representation that directly addresses both challenges, can be easily integrated into existing models, and significantly improves the state of the art in every considered case across a range of challenging language understanding problems.our representations differ from traditional word type embeddings in that each token is assigned a representation that is a function of the entire input sentence. we use vectors derived from a bidirectional lstm that is trained with a coupled lan-guage model objective on a large text corpus. for this reason, we call them elmo representations. unlike previous approaches for learning contextualized word vectors, elmo representations are deep, in the sense that they area function of all of the internal layers of the bilm. more specifically, we learn a linear combination of the vectors stacked above each input word for each end task, which markedly improves performance over just using the top lstm layer.combining the internal states in this manner allows for very rich word representations. using intrinsic evaluations, we show that the higher-level lstm states capture context-dependent aspects of word meaning while lowerlevel states model aspects of syntax . simultaneously exposing all of these signals is highly beneficial, allowing the learned models select the types of semi-supervision that are most useful for each end task.extensive experiments demonstrate that elmo representations work extremely well in practice. we first show that they can be easily added to existing models for six diverse and challenging language understanding problems, including textual entailment, question answering and sentiment analysis. the addition of elmo representations alone significantly improves the state of the art in every case, including up to 20% relative error reductions. for tasks where direct comparisons are possible, elmo outperforms cove, which computes contextualized representations using a neural machine translation encoder. finally, an analysis of both elmo and cove reveals that deep representations outperform arxiv:1802.05365v2 22 mar 2018 those derived from just the top layer of an lstm. our trained models and code are publicly available, and we expect that elmo will provide similar gains for many other nlp problems. 1 2 related work due to their ability to capture syntactic and semantic information of words from large scale unlabeled text, pretrained word vectors area standard component of most state-ofthe-art nlp architectures, including for question answering, textual entailment and semantic role labeling. however, these approaches for learning word vectors only allow a single contextindependent representation for each word.previously proposed methods overcome some of the shortcomings of traditional word vectors by either enriching them with subword information uses a bidirectional long short term memory to encode the context around a pivot word. other approaches for learning contextual embeddings include the pivot word itself in the representation and are computed with the encoder of either a supervised neural machine translation system or an unsupervised language model. both of these approaches benefit from large datasets, although the mt approach is limited by the size of parallel corpora. in this paper, we take full advantage of access to plentiful monolingual data, and train our bilm on a corpus with approximately 30 million sentences. we also generalize these approaches to deep contextual representations, which we show work well across abroad range of diverse nlp tasks. 1 link previous work has also shown that different layers of deep birnns encode different types of information. for example, introducing multi-task syntactic supervision at the lower levels of a deep lstm can improve overall performance of higher level tasks such as dependency parsing or ccg super tagging. in an rnn-based encoder-decoder machine translation system, showed that the representations learned at the first layer in a 2layer lstm encoder are better at predicting pos tags then second layer. finally, the top layer of an lstm for encoding word context has been shown to learn representations of word sense. we show that similar signals are also induced by the modified language model objective of our elmo representations, and it can be very beneficial to learn models for downstream tasks that mix these different types of semi-supervision. and pretrain encoder-decoder pairs using language models and sequence autoencoders and then fine tune with task specific supervision. in contrast, after pretraining the bilm with unlabeled data, we fix the weights and add additional taskspecific model capacity, allowing us to leverage large, rich and universal bilm representations for cases where downstream training data size dictates a smaller supervised model."
12,"neural models have become the dominant approach in the nlp literature. compared to handcrafted indicator features, neural sentence representations are less sparse, and more flexible in encoding intricate syntactic and semantic information. among various neural networks for encoding sentences, bi-directional lstms have been a dominant method, giving state-of-the-art results in language modelling, machine translation, syntactic parsing and question answering.despite their success, bilstms have been shown to suffer several limitations. for example, their inherently sequential nature endows computation non-parallel within the same sentence, which can lead to a computational bottleneck, hindering their use in the in- dustry. in addition, local ngrams, which have been shown a highly useful source of contextual information for nlp, are not explicitly modelled. finally, sequential information flow leads to relatively weaker power in capturing longrange dependencies, which results in lower performance in encoding longer sentences.we investigate an alternative recurrent neural network structure for addressing these issues. as shown in, the main idea is to model the hidden states of all words simultaneously at each recurrent step, rather than one word at a time. in particular, we view the whole sentence as a single state, which consists of sub-states for individual words and an overall sentence-level state. to capture local and non-local contexts, states are updated recurrently by exchanging information between each other. consequently, we refer to our model as sentence-state lstm, or s-lstm in short. empirically, s-lstm can give effective sentence encoding after 3 -6 recurrent steps. in contrast, the number of recurrent steps necessary for bilstm scales with the size of the sentence.at each recurrent step, information exchange is conducted between consecutive words in the sentence, and between the sentence-level state and each word. in particular, each word receives information from its predecessor and successor simultaneously. from an initial state without information exchange, each word-level state can obtain 3-gram, 5-gram and 7-gram information after 1, 2 and 3 recurrent steps, respectively. being connected with every word, the sentence-level state vector serves to exchange non-local information with each word. in addition, it can also be used as a global sentence-level representation for classification tasks.results on both classification and sequence labelling show that s-lstm gives better accuracies compared to bilstm using the same number of parameters, while being faster. we release our code and models at link leuchine/s-lstm, which include all baselines and the final model."
13,"named-entity recognition is the task of identifying textual mentions and classifying them into a predefined set of types. various approaches have been proposed to tackle the task, from hand-crafted feature-based machine learning models like conditional random fields and perceptron, to deep neural models.word representations, also known as word embeddings, area key element for multiple nlp tasks including ner. due to the small amount of named-entity annotated data, embeddings are used to extend, rather than replace, hand-crafted features in order to obtain state-of-the-art performance. recent studies have explored methods for supplying deep sequential taggers with complementary features to standard embeddings. and tested special embeddings extracted from a neural language model trained on a large corpus. lm embeddings capture context-dependent aspects of word meaning using future and previous context words. when this information is added to standard features, it leads to significant improvements in ner. also, showed that external knowledge resources are crucial to ner performance. gazetteer features encode the presence of word n-grams in predefined lists of nes.in this work, we discuss some of the limitations of gazetteer features and propose an alternative lexical representation which is trained offline and that can be added to any neural ner system. ina nutshell, we embed words and entity types into a joint vector space by leveraging wifine, a ressource which automatically annotates mentions in wikipedia with 120 entity types. from this vector space, we compute for each word a 120-dimensional vector, where each dimension encodes the similarity of the word with an entity type. we call this vector an ls representation, for lexical similarity. when included in a vanilla lstm-crf ner model, ls representations lead to significant gains. we establish anew state-of-the-art f1 score of 87.95 on ontonotes 5.0, while matching state-of-the-art performance on the over-studied in the rest of this paper, we motivate our work in section 2. we describe how we compute ls vectors in section 3. we present our system in section 4 and report results in section 5. in section 6, we discuss related works before concluding in section 7."
14,"there has been an increasing interest in named entity recognition or more generally recognizing entity mentions 2) that the nested hierarchical structure of entity mentions should betaken into account to better facilitate downstream tasks like question answering, relation extraction, event extraction, and coreference resolution. practically, the mentions with nested structures frequently exist in news and biomedical documents. for example in traditional sequence labeling models such as conditional random fields do not allow hierarchical structures between segments, making them incapable to handle such problems. presented a chart-based parsing approach where each sentence with nested mentions is mapped to a rooted constituent tree. the issue of using a chart-based parser is its cubic time complexity in the number of words in the sentence.to achieve a scalable and effective solution for recognizing nested mentions, we design a transition-based system which is inspired by the recent success of employing transition-based methods for constituent parsing) and named entity recognition, especially when they are paired with neural networks. generally, each sentence with nested mentions is mapped to a forest where each outermost mention forms a tree consisting of its inner mentions. then our transition-based system learns to construct this forest through a sequence of shift-reduce actions. shows an example of such a forest. in contrast, the tree structure by further uses a root node to connect all tree elements. our forest representation eliminates the root node so that the number of actions required to construct it can be reduced significantly.following, we employ stack-lstm to represent the system's state, which consists of the states of input, stack and action history, in a continuous space incrementally. the processed nested mentions in the stack are encoded with recursive neural networks where composition functions are used to capture dependencies between nested mentions. based on the observation that letter-level patterns such as capitalization and prefix can be beneficial in detecting mentions, we incorporate a characterlevel lstm to capture such morphological information. meanwhile, this character-level component can also help deal with the out-of-vocabulary problem of neural models. we conduct experiments in three standard datasets. our system achieves the state-of-the-art performance on ace datasets and comparable performance in genia dataset."
15,"language model pre-training has been shown to be effective for improving many natural language processing tasks. these include sentence-level tasks such as natural language inference and paraphrasing, which aim to predict the relationships between sentences by analyzing them holistically, as well as token-level tasks such as named entity recognition and question answering, where models are required to produce fine-grained output at the token level.there are two existing strategies for applying pre-trained language representations to downstream tasks: feature-based and fine-tuning. the feature-based approach, such as elmo, uses task-specific architectures that include the pre-trained representations as additional features. the fine-tuning approach, such as the generative pre-trained transformer , introduces minimal task-specific parameters, and is trained on the downstream tasks by simply fine-tuning all pretrained parameters. the two approaches share the same objective function during pre-training, where they use unidirectional language models to learn general language representations.we argue that current techniques restrict the power of the pre-trained representations, especially for the fine-tuning approaches. the major limitation is that standard language models are unidirectional, and this limits the choice of architectures that can be used during pre-training. for example, in openai gpt, the authors use a left-toright architecture, where every token can only attend to previous tokens in the self-attention layers of the transformer. such restrictions are sub-optimal for sentence-level tasks, and could be very harmful when applying finetuning based approaches to token-level tasks such as question answering, where it is crucial to incorporate context from both directions.in this paper, we improve the fine-tuning based approaches by proposing bert: bidirectional encoder representations from transformers. bert alleviates the previously mentioned unidirectionality constraint by using a ""masked language model"" pre-training objective, inspired by the cloze task. the masked language model randomly masks some of the tokens from the input, and the objective is to predict the original vocabulary id of the masked word based only on its context. unlike left-toright language model pre-training, the mlm objective enables the representation to fuse the left and the right context, which allows us to pretrain a deep bidirectional transformer. in addition to the masked language model, we also use a ""next sentence prediction"" task that jointly pretrains text-pair representations. the contributions of our paper are as follows: we demonstrate the importance of bidirectional pre-training for language representations. unlike, which uses unidirectional language models for pre-training, bert uses masked language models to enable pretrained deep bidirectional representations. this is also in contrast to, which uses a shallow concatenation of independently trained left-to-right and right-to-left lms. we show that pre-trained representations reduce the need for many heavily-engineered taskspecific architectures. bert is the first finetuning based representation model that achieves state-of-the-art performance on a large suite of sentence-level and token-level tasks, outperforming many task-specific architectures. bert advances the state of the art for eleven nlp tasks. the code and pre-trained models are available at link google-research/bert."
16,"the volume of biomedical literature continues to rapidly increase. on average, more than 3000 new articles are published everyday in peer-reviewed journals, excluding pre-prints and technical reports such as clinical trial reports in various archives. pubmed alone has a total of 29m articles as of january 2019. reports containing valuable information about new discoveries and new insights are continuously added to the already overwhelming amount of literature. consequently, there is increasingly more demand for accurate biomedical text mining tools for extracting information from the literature.recent progress of biomedical text mining models was made possible by the advancements of deep learning techniques used in natural language processing . for instance, long short-term memory and conditional random field have greatly improved performance in biomedical named entity recognition over the last few years. other deep learning based models have made improvements in biomedical text mining tasks such as relation extraction and question answering .however, directly applying state-of-the-art nlp methodologies to biomedical text mining has limitations. first, as recent word representation models such as word2vec, elmo and bert are trained and tested mainly on datasets containing general domain texts , it is difficult to estimate their performance on datasets containing biomedical texts. also, the word distributions of general and biomedical corpora are quite different, which can often be a problem for biomedical text mining models. as a result, recent models in biomedical text mining rely largely on adapted versions of word representations.in this study, we hypothesize that current state-of-the-art word representation models such as bert need to be trained on biomedical corpora to be effective in biomedical text mining tasks. previously, word2vec, which is one of the most widely known context independent word representation models, was trained on biomedical corpora which contain terms and expressions that are usually not included in a general domain corpus. while elmo and bert have proven the effectiveness of contextualized word representations, they cannot obtain high performance on biomedical corpora because they are pre-trained on only general domain corpora. as bert achieves very strong results on various nlp tasks while using almost the same structure across the tasks, adapting bert for the biomedical domain could potentially benefit numerous biomedical nlp researches."
17,"this paper addresses the challenging problem of open-domain question answering, which consists of building systems able to answer questions from any domain. any advance on this difficult topic would bring a huge leap forward in building new ways of accessing knowledge. an important development in this area has been the creation of large-scale knowledge bases , such as freebase and dbpedia which store huge amounts of general-purpose information. they are organized as databases of triples connecting pairs of entities by various relationships and of the form . question answering is then defined as the task of retrieving the correct entity or set of entities from a kb given a query expressed as a question in natural language.the use of kbs simplifies the problem by separating the issue of collecting and organizing information from the one of searching through it . however, open question answering remains challenging because of the scale of these kbs and of the difficulty for machines to interpret natural language. recent progress has been made by tackling this problem with semantic parsers. these methods convert questions into logical forms or database queries which are then subsequently used to query kbs for answers. even if such systems have shown the ability to handle large-scale kbs, they require practitioners to hand-craft lexicons, grammars, and kb schema for the parsing to be effective. this nonnegligible human intervention might not be generic enough to conveniently scale up to new databases with other schema, broader vocabularies or other languages than english.in this paper, we instead take the approach of converting questions to vectorial representations which require no pre-defined grammars or lexicons and can query any kb independent of its schema. following, we focus on answering simple factual questions on abroad range of topics, more specifically, those for which single kb triples stand for both the question and an answer . for example, stands for what is parrotfish's habitat? and southern-water.e and for what is the main language of hong-kong? and cantonese.e. in this task, the main difficulties come from lexical variability rather than from complex syntax, having multiple answers per question, and the absence of a supervised training signal.our approach is based on learning low-dimensional vector embeddings of words and of kb triples so that representations of questions and corresponding answers end up being similar in the embedding space. unfortunately, we do not have access to any human labeled supervision for this task. in order to avoid transferring the cost of manual intervention to the one of labeling large amounts of data, we make use of weak supervision. we show empirically that our model is able to take advantage of noisy and indirect supervision by automatically generating questions from kb triples and treating this as training data; and supplementing this with a data set of questions collaboratively marked as paraphrases but with no associated answers. we end up learning meaningful vectorial representations for questions involving up to 800k words and for triples of an mostly automatically created kb with 2.4m entities and 600k relationships. our method strongly outperforms previous results on the wikianswers+reverb evaluation data set introduced by. even if the embeddings obtained after training are of good quality, the scale of the optimization problem makes it hard to control and to lead to convergence. thus, we propose a method to fine-tune embedding-based models by carefully optimizing a matrix parameterizing the similarity used in the embedding space, leading to a consistent improvement in performance.the rest of the paper is organized as follows. section 2 discusses some previous work and section 3 introduces the problem of open question answering. then, section 4 presents our model and section 5 our experimental results."
18,"matching two potentially heterogenous language objects is central to many natural language applications. it generalizes the conventional notion of similarity or relevance , since it aims to model the correspondence between ""linguistic objects"" of different nature at different levels of abstractions. examples include top-k re-ranking in machine translation and dialogue . natural language sentences have complicated structures, both sequential and hierarchical, that are essential for understanding them. a successful sentence-matching algorithm therefore needs to capture not only the internal structures of sentences but also the rich patterns in their interactions. towards this end, we propose deep neural network models, which adapt the convolutional strategy to natural language. to further explore the relation between representing sentences and matching them, we devise a novel model that can naturally host both the hierarchical composition for sentences and the simple-to-comprehensive fusion of matching patterns with the same convolutional architecture. our model is generic, requiring no prior knowledge of natural language and putting essentially no constraints on the matching tasks. this is part of our continuing effort 1 in understanding natural language objects and the matching between them.our main contributions can be summarized as follows. first, we devise novel deep convolutional network architectures that can naturally combine 1) the hierarchical sentence modeling through layer-by-layer composition and pooling, and 2) the capturing of the rich matching patterns at different levels of abstraction; second, we perform extensive empirical study on tasks with different scales and characteristics, and demonstrate the superior power of the proposed architectures over competitor methods.roadmap we start by introducing a convolution network in section 2 as the basic architecture for sentence modeling, and how it is related to existing sentence models. based on that, in section 3, we propose two architectures for sentence matching, with a detailed discussion of their relation. in section 4, we briefly discuss the learning of the proposed architectures. then in section 5, we report our empirical study, followed by a brief discussion of related work in section 6."
19,"open-domain question answering systems aim at providing the exact answer to questions formulated in natural language, without restriction of domain. while there is along history of qa systems that search for textual documents or on the web and extract answers from them , recent progress has been made with the release of large knowledge bases such as freebase, which contain consolidated knowledge stored as atomic facts, and extracted from different sources, such as free text, tables in webpages or collaborative input. existing approaches for qa from kbs use learnable components to either transform the question into a structured kb query or learn to embed questions and facts in a low dimensional vector space and retrieve the answer by computing similarities in this embedding space. however, while most recent efforts have focused on designing systems with higher reasoning capabilities, that could jointly retrieve and use multiple facts to answer, the simpler problem of answering questions that refer to a single fact of the kb, which we call simple question answering in this paper, is still far from solved.hence, existing benchmarks are small; they mostly cover the head of the distributions of facts, and are restricted in their question types and their syntactic and lexical variations. as such, it is still unknown how much the existing systems perform outside the range of the specific question templates of a few, small benchmark datasets, and it is also unknown whether learning on a single dataset transfers well on other ones, and whether such systems can learn from different training sources, which we believe is necessary to capture the whole range of possible questions.besides, the actual need for reasoning, i.e. constructing the answer from more than a single fact from the kb, depends on the actual structure of the kb. as we shall see, for instance, a simple preprocessing of freebase tremendously increases the coverage of simple qa in terms of possible questions that can be answered with a single fact, including list questions that expect more than a single answer. in fact, the task of simple qa itself might already cover a wide range of practical usages, if the kb is properly organized. this paper presents two contributions. first, as an effort to study the coverage of existing systems and the possibility to train jointly on different data sources via multitasking, we collected the first large-scale dataset of questions and answers based on a kb, called simplequestions. this dataset, which is presented in section 2, contains more than 100k questions written by human anno-what american cartoonist is the creator of andy lippincott? which forest is fires creek in? what is an active ingredient in childrens earache relief ? tators and associated to freebase facts, while the largest existing benchmark, webquestions, contains less than 6k questions created automatically using the google suggest api.second, in sections 3 and 4, we present an embedding-based qa system developed under the framework of memory networks . memory networks are learning systems centered around a memory component that can be read and written to, with a particular focus on cases where the relationship between the input and response languages and the storage language is performed by embedding all of them in the same vector space. the setting of the simple qa corresponds to the elementary operation of performing a single lookup in the memory. while our model bares similarity with previous embedding models for qa, using the framework of memnns opens the perspective to more involved inference schemes in future work, since memnns were shown to perform well on complex reasoning toy qa tasks. we discuss related work in section 5.we report experimental results in section 6, where we show that our model achieves excellent results on the benchmark webquestions. we also show that it can learn from two different qa datasets to improve its performance on both. we also present the first successful application of transfer learning for qa. using the reverb kb and qa datasets, we show that reverb facts can be added to the memory and used to answer without retraining, and that memnns achieve better results than some systems designed on this dataset."
20,"humans learn in a variety of ways-by communication with each other, and by study, the reading of text. comprehension of unstructured text by machines, at a near-human level, is a major goal for natural language processing. it has garnered significant attention from the machine learning research community in recent years.machine comprehension is evaluated by posing a set of questions based on a text passage . such tests are objectively gradable and can be used to assess a range of abilities, from basic understanding to causal reasoning to inference. given a text passage and a question about its content, a system is tested on its ability to determine the correct answer. in this work, we focus on mctest, a complex but data-limited comprehension benchmark, whose multiple-choice questions require not only extraction but also inference and limited reasoning. inference and reasoning are important human skills that apply broadly, beyond language.we present a parallel-hierarchical approach to machine comprehension designed to work well in a data-limited setting. there are many use-cases in which comprehension over limited data would be handy: for example, user manuals, internal documentation, legal contracts, and soon. moreover, work towards more efficient learning from any quantity of data is important in its own right, for bringing machines more inline with the way humans learn. typically, artificial neural networks require numerous parameters to capture complex patterns, and the more parameters, the more training data is required to tune them. likewise, deep models learn to extract their own features, but this is a data-intensive process. our model learns to comprehend at a high level even when data is sparse.the key to our model is that it compares the question and answer candidates to the text using several distinct perspectives. we refer to a question combined with one of its answer candidates as a hypothesis . the semantic perspective compares the hypothesis to sentences in the text viewed as single, self-contained thoughts; these are represented using a sum and transformation of word embedding vectors, similarly to in . the word-by-word perspective focuses on similarity matches between individual words from hypothesis and text, at various scales. as in the semantic perspective, we consider matches over complete sentences. we also use a sliding window acting on a subsentential scale , which implicitly considers the linear distance between matched words. finally, this word-level sliding window operates on two different views of text sentences: the sequential view, where words appear in their natural order, and the dependency view, where words are reordered based on a linearization of the sentence's dependency graph. words are represented throughout by embedding vectors. these distinct perspectives naturally form a hierarchy that we depict in. language is hierarchical, so it makes sense that comprehension relies on hierarchical levels of understanding.the perspectives of our model can be considered a type of feature. however, they are implemented by parametric differentiable functions. this is in contrast to most previous efforts on mctest, whose numerous hand-engineered features cannot be trained. our model, significantly, can be trained end-to-end with backpropagation. to facilitate learning with limited data, we also develop a unique training scheme. we initialize the model's neural networks to perform specific heuristic functions that yield decent performance on the dataset. thus, the training scheme gives the model a safe, reasonable baseline from which to start learning. we call this technique training wheels.computational models that comprehend have developed contemporaneously in several research groups. models designed specifically for mctest include those of, and more recently,, and. in experiments, our parallel-hierarchical model achieves state-of-the-art accuracy on mctest, outperforming these existing methods.below we describe related work, the mathematical details of our model, and our experiments, then analyze our results."
21,"recently, the idea of training machine comprehension models that can read, understand, and answer questions about a text has come closer to reality principally through two factors. the first is the advent of deep learning techniques, which allow manipulation of natural language beyond its surface forms and generalize beyond relatively small amounts of labeled data. the second factor is the formulation of standard machine comprehension benchmarks based on cloze-style queries, which permit fast integration loops between model conception and experimental evaluation.cloze-style queries are created by deleting a particular word in a natural-language statement. the task is to guess which word was deleted. ina pragmatic approach, recent work formed such questions by extracting a sentence from a larger document. in contrast to considering a stand-alone statement, the system is now required to handle a larger amount of information that may possibly influence the prediction of the missing word. such contextual dependencies may also be injected by removing a word from a short human-crafted summary of a larger body of text. the abstractive nature of the summary is likely to demand a higher level of comprehension of the original text. in both cases, the machine comprehension system is presented with an ablated query and the document to which the original query refers. the missing word is assumed to appear in the document. encouraged by the recent success of deep learning attention architectures, we propose a novel neural attention-based inference model designed to perform machine reading comprehension tasks. the model first reads the document and the query using a recurrent neural network. then, it deploys an iterative inference process to uncover the inferential links that exist between the missing query word, the query, and the document. this phase involves a novel alternating attention mechanism; it first attends to some parts of the query, then finds their corresponding matches by attending to the document. the result of this alternating search is fed back into the iterative inference process to seed the next search step. this permits our model to reason about different parts of the query in a sequential way, based on the information that has been gathered previously from the document. after a fixed number of iterations, the model uses a summary of its inference process to predict the answer. this paper makes the following contributions. we present a novel iterative, alternating attention mechanism that, unlike existing models, does not compress the query to a single representation, but instead alternates its attention between the query and the document to obtain a fine-grained query representation within a fixed computation time. our architecture tightly integrates previous ideas related to bidirectional readers and iterative attention processes. it obtains state-of-theart results on two machine comprehension datasets and shows promise for application to abroad range of natural language processing tasks."
22,"extracting semantic relations between entities in text is an important and well-studied task in information extraction and natural language processing . traditional systems treat this task as a pipeline of two separated tasks, i.e., named entity recognition ) and relation extraction, but recent studies show that end-to-end modeling of entity and relation is important for high performance since relations interact closely with entity information. for instance, to learn that toefting and bolton have an organization-affiliation relation in the sentence toefting transferred to bolton, the entity information that toefting and bolton are person and organization entities is important. extraction of these entities is in turn encouraged by the presence of the context words transferred to, which indicate an employment relation. previous joint models have employed feature-based structured learning. an alternative approach to this end-to-end relation extraction task is to employ automatic feature learning via neural network based models.there are two ways to represent relations between entities using neural networks: recurrent/recursive neural networks and convolutional neural networks . among these, rnns can directly represent essential linguistic structures, i.e., word sequences and constituent/dependency trees. despite this representation ability, for relation classification tasks, the previously reported performance using long short-term memory based rnns is worse than one using cnns. these previous lstm-based systems mostly include limited linguistic structures and neural architectures, and do not model entities and relations jointly. we are able to achieve improvements over state-of-the-art models via endto-end modeling of entities and relations based on richer lstm-rnn architectures that incorporate complementary linguistic structures.word sequence and tree structure are known to be complementary information for extracting relations. for instance, dependencies between words are not enough to predict that source and u.s. have an org-aff relation in the sentence ""this is ..."", one u.s. source said, and the context word said is required for this prediction. many traditional, feature-based relation classification models extract features from both sequences and parse trees. however, previous rnnbased models focus on only one of these linguistic structures.we present a novel end-to-end model to extract relations between entities on both word sequence and dependency tree structures. our model allows joint modeling of entities and relations in a single model by using both bidirectional sequential and bidirectional tree-structured lstm-rnns. our model first detects entities and then extracts relations between the detected entities using a single incrementally-decoded nn structure, and the nn parameters are jointly updated using both entity and relation labels. unlike traditional incremental end-to-end relation extraction models, our model further incorporates two enhancements into training: entity pretraining, which pretrains the entity model, and scheduled sampling, which replaces predicted labels with gold labels in a certain probability. these enhancements alleviate the problem of low-performance entity detection in early stages of training, as well as allow entity information to further help downstream relation classification.on end-to-end relation extraction, we improve over the state-of-the-art feature-based model, with 12.1% and 5.7% relative error reductions in f1-score. on nominal relation classification , our model compares favorably to the state-of-the-art cnnbased model in f1-score. finally, we also ablate and compare our various model components, which leads to some key findings about the contribution and effectiveness of different rnn structures, input dependency relation structures, different parsing models, external resources, and joint learning settings."
23,"joint extraction of entities and relations is to detect entity mentions and recognize their semantic relations simultaneously from unstructured text, as shows. different from open information extraction ) whose relation words are extracted from the given sentence, in this task, relation words are extracted from a predefined relation set which may not appear in the given sentence. it is an important issue in knowledge extraction and automatic construction of knowledge base. traditional methods handle this task in a pipelined manner, i.e., extracting the entities first and then recognizing their relations. this separated framework makes the task easy to deal with, and each component can be more flexible. but it neglects the relevance between these two sub-tasks and each subtask is an independent model. the results of entity recognition may affect the performance of relation classification and lead to erroneous delivery.different from the pipelined methods, joint learning framework is to extract entities together with relations using a single model. it can effectively integrate the information of entities and relations, and it has been shown to achieve better results in this task. however, most existing joint methods are feature-based structured systems. they need complicated feature engineering and heavily rely on the other nlp toolkits, which might also lead to error propagation. in order to reduce the manual work in feature extraction, recently, presents a neural network-based method for the end-to-end entities and relations extraction. although the joint models can represent both entities and relations with shared parameters in a single model, they also extract the entities and relations separately and produce redundant information. for instance, the sentence in contains three entities: ""united states"", ""trump"" and ""apple inc"". but only ""united states"" and ""trump"" hold a fix relation ""country-president"". entity ""apple inc"" has no obvious relationship with the other entities in this sentence. hence, the extracted result from this sentence is {united states e1 , country-president r , trump e2 }, which called triplet here.in this paper, we focus on the extraction of triplets that are composed of two entities and one relation between these two entities. therefore, we can model the triplets directly, rather than extracting the entities and relations separately. based on the motivations, we propose a tagging scheme accompanied with the end-to-end model to settle this problem. we design a kind of novel tags which contain the information of entities and the relationships they hold. based on this tagging scheme, the joint extraction of entities and relations can be transformed into a tagging problem. in this way, we can also easily use neural networks to model the task without complicated feature engineering.recently, end-to-end models based on lstm have been successfully applied to various tagging tasks: named entity recognition, ccg supertagging, chunking et al. lstm is capable of learning long-term dependencies, which is beneficial to sequence modeling tasks. therefore, based on our tagging scheme, we investigate different kinds of lstm-based end-to-end models to jointly extract the entities and relations. we also modify the decoding method by adding a biased loss to make it more suitable for our special tags.the method we proposed is a supervised learning algorithm. in reality, however, the process of manually labeling a training set with a large number of entity and relation is too expensive and error-prone. therefore, we conduct experiments on a public dataset 1 which is produced by distant supervision method to validate our approach. the experimental results show that our tagging scheme is effective in this task. in addition, our end-to-end model can achieve the best results on the public dataset.the major contributions of this paper are: a novel tagging scheme is proposed to jointly extract entities and relations, which can easily transform the extraction problem into a tagging task. based on our tagging scheme, we study different kinds of end-to-end models to settle the problem. the tagging-based methods are better than most of the existing pipelined and joint learning methods. furthermore, we also develop an end-to-1 link end model with biased loss function to suit for the novel tags. it can enhance the association between related entities."
