text,reason,label
this app does not show background,want to send pictures in messages,1.0
sometimes my connection drops and restarts the meeting,unable to download app,1.0
"but when i go back to zoom, there is sound",want to get preview before joining meeting,1.0
it was good before the last update but now has become worst everytime,zoom has a time limit,1.0
"just one issue, high data consumption",subtitles go off the screen,1.0
i give it a star because there are times when the app will not let me send messages,good for app management,1.0
great way to connect!,storage space is not full,1.0
"this application is fairly good, but it does not support the arabic language; so i gave it 2 out of 5",receiving black screen to view active speaker,1.0
i can not refresh the zoom,want to blur background and join meetings,1.0
it would be interesting to be able to open simultaneous rooms by cell phone.,"want to add filters, background and effects",1.0
best app for conference calls,want to reduce memory,1.0
help me install my zoom cloud meeting,volume is too low,1.0
and i have tried to uninstall and reinstall,app is not working properly in virtual background,1.0
zoom has improved a lot recently.,app has slurred interface,1.0
zoom will not tell me create an account.,unable to watch episodes,1.0
google sign-in does not work!,want dark mode,1.0
i do not know the reason why i can not install this app.,want to know how many people are listening the foreign language,1.0
can not use background image,want to participate in meeting when radio wave is bad,1.0
no option to change background when using android phone,want to add picture in picture mode,1.0
i am not able to set the background of my video,want to put money and filter,1.0
worst app for online classes,want to add free resources for teachers,1.0
but i can not use background filters.,want next episode button,1.0
I am not able to download the app on my android.,want to use vertual effects,1.0
best app for meeting and study purposes,service does not offer many movies,1.0
request for a setting to disable auto-rotate please.,good for multi tasking,1.0
the bad thing is that the app is very slow,want to delete posts,1.0
this app is good but it wastes a lot of battery.,app has glitches,1.0
but i can not edit my profile,want to improve connectivity in gmails,1.0
i can not turn on the camera,app is good,1.0
"they say ""you can not register for zoom at the moment""",unable to download,1.0
the best platform to communicate in a pandemic,want to add close captions,1.0
it is very good the zoom service is quite interesting to me,unable to download content,1.0
i can not install zoom on my android.,want to put emojis on cell,1.0
sometimes the image freezes.,app management is bad,1.0
how to change the language?,app is bad for movies,1.0
best app for online teaching,new update is consuming data more,1.0
online meeting is nice,account settings are inaccessible,1.0
it is the best app for chatting and meetings,getting error code 39,1.0
learning is very effective,want to remove host/teacher,1.0
it tells me i am not eligible to sign up at this time,want to add profile picture,1.0
this app is not suitable for meeting,want to insert display picture,1.0
"when downloading the app, it takes too long",camera quality is good,1.0
"this new zoom app is so so annoying,always downloading emoji every time i launch it",good for schools,1.0
how to put virtual background in mobile on zoom??,bluetooth speaker is not connected to multiple devices,1.0
the app is very good and the call quality is extremely good.,want a free subscription,1.0
i can not share my screen!,unable to use on tablet,1.0
speakers cannot be connected via bluetooth,want to connect sound to bugles via bluetooth,1.0
love this app i can always get on zoom with my friends or family,facing network connection issues,1.0
please improve your performance zoom,getting charged for cancelled subscription,1.0
android tablets do not have virtual background feature in zoom!,unable to watch select content on disney+,1.0
will not let me change password,sound system needs an update,1.0
"the screen is clear and the sound is heard very well, and i am using it very well.",good quality of education,1.0
nice app audio quality is also nice,unable to load page,1.0
but there is a problem with the screen.,want to remove the bell feature,1.0
the app is very good but it would be much better if the background comes to phone and tablet as well please come,good for organising,1.0
i can not put my phone number,getting logged out of meetings,1.0
please insert vitual background in it,google duo is easier,1.0
"pretty excellent app, just wish it was not so big!",good for task management,1.0
you should make a lite version of zoom,good for small business,1.0
slow down the download,want to download stickers,1.0
sound problems - why is it so hard?,want a filter for the face,1.0
its latest version is the best!,unable to use scroll function,1.0
nice but unable to use background option in phone even have the lastest android version,want to download files,1.0
"zoom does not seem to want to keep my account working, I am very mad",want to edit profile,1.0
but i have a problem of connecting it disconnect and again reconnect after 1 min,sound of recording is loud,1.0
why would i want to join a meeting without audio?,good remote control app,1.0
that we have the option to delete the chat,data usage is high,1.0
the application is constantly hanging,app auto rotates in meeting even after disabling auto rotate feature,1.0
"and for ipad, you can not sign in with apple",want to login as account is locked,1.0
the camera function is not displayed for me.,want to load skins,1.0
"the audio and video are very good for meetings, thank you",want ukraine flag in emoticons,1.0
"it really takes up space on my phone, so bad",want to create meetings,1.0
when i have class it is automatically disconnected and connect and,taskbar goes black,1.0
an indispensable application for educators,want to write link,1.0
my phone overheats with this app.,want to make a button that lowers all the participants' hands at once,1.0
not really able to use this app on my pc,getting frequent ads during live matches,1.0
can not share audio via bluetooth,want to upload backgrounds,1.0
not great to use zoom on ipad.,want to install app in mobile,1.0
how should i delete the image?,want to download update,1.0
too many error codes.,missing a class,1.0
i can not connect to this app,accidents and problems,1.0
"when i record my screen share on mac book pro, the video recording gets very poor quality.",want to change zoom pfp,1.0
how to sign in to gmail account without password,good for spending time,1.0
zoom meeting password entered correctly but still says incorrect,want green screen option for android,1.0
great application for training.,network stability is poor,1.0
"after the last update, the app no longer works",unable to use on mobile and smart tv,1.0
please add the mir card as a possible payment method.,want to connect to audio device,1.0
and it is good for kids,gameplay and controls are bad,1.0
very helpful for our business,want to start a call,1.0
why can not i control the volume on my iphone with my headphones on?!,joining classes is time consuming,1.0
i can easily log in to my account but not on my tablet idk why i tried to login it,poor quality of cliffs,1.0
how to get zoom pro ?,app is bad to watch videos,1.0
the image quality is amazing!,want to login using qr code,1.0
great for chat room,app has buffering issue while watching ipl,1.0
you can provide subtitles,unable to start on ios,1.0
"the application does not have the option of my language, the catalan.",audio is distorted while someone is speaking,1.0
camera quality is good,want to open a group,1.0
i am unable to log into my school account,want to download zoom cloud meeting,1.0
bad quality and connection,app shuts down twice,1.0
video quality could be better.,want to join meeting and change name and photo,1.0
the worst videoconferencing app I have ever used.,want to use pip mode,1.0
please remove waiting room,unable to watch espn+,1.0
i am having trouble with bluetooth connection,want to have a center view for off center camera on device,1.0
and i had trouble with zoom cloud meetings.,getting blank screen after launching the app,1.0
network connection is not good and video quality is not good,story mode is bad,1.0
camera quality is not good .but,live streaming has issues,1.0
but it takes so much battery and net,unable to watch on hotstar,1.0
new stickers are not downloading,want to enter conference link,1.0
i can not download emoji's.,ipad pro version needs microphone access,1.0
my play store is not working,want to connect to google,1.0
updating is too frequent.,want to hear voice,1.0
"excellent, very good for conversation",app is stuck on home page indefinitely,1.0
how can we cancel emoji package downloading?,good for personal and professional projects,1.0
mobile version is not good.,app is not working on one plus device,1.0
this app is good but it glitches a lot please improve,want to open live videos,1.0
some features are missing,app is poorly made,1.0
it is a good app but it should give update notification in advance,video turns black intermittently when switching split view,1.0
i can not log in to facebook,mobile app is bad,1.0
host video is not available,want to get virtual background option for tabs,1.0
i am not able to get video,phone runs out quickly even after 100% charge,1.0
i can not remove my profile picture please resolve this issue,want to enter meeting room,1.0
why this app is not installed in my phone (android),want to use multilaser tablet,1.0
i am not able to switch on my video,gameplay and graphics are bad and unable to customise characters,1.0
"this app is amazing for meeting, screen sharing and many other more things in this app.",want to install russian version,1.0
how to change video background?,want to enable co-host,1.0
it will say it is invalid email or password,missing some episodes and seasons,1.0
please allow me to change the wallpaper,unable to hear sound,1.0
why is zoom unavailable in ukraine?,turn camera and microphone off as a default,1.0
my zoom will not even load.,auto zoom does not work with android auto,1.0
registration is long and tedious.,play and pause buttons are not bugged,1.0
you can not set the sound normally,unable to use in certain regions,1.0
"terrible gameplay, bad graphics, bad characters, this game is bad",want to save phone number,1.0
a great way of communication and learning.,want to increase notification size,1.0
excellent medium for conferences and classes.,want to copy and paste meeting invite information,1.0
i will not let me put my date of birth,keyboard and speaker is lagging,1.0
very good for meeting.,app crashes frequently and video download issues,1.0
this app quality is very poor,want to create account,1.0
unable to download updates,app is crashing,1.0
best app for children,getting logged out automatically,1.0
you can not change the name properly,mobile version of zoom does not have features,1.0
very good user interface and experience.,want to fix the blur feature,1.0
how to install a virtual background for ipad,uninstalling the application did not fix anything,1.0
technical support does not respond.,updating app is time consuming,1.0
plus i keep getting logged out of my account,disconnecting mic calls is not working,1.0
"excellent app, but its licenses are very expensive!",quality of game is bad,1.0
google duo is a much easier app.,want lite version of app,1.0
i love this app because you can connect meetings and take care of other things,want to share zoom conferences,1.0
"sometimes, the video does not work either.",want to change settings,1.0
i can not set background filters in my android device,want to login without consent,1.0
please add blurred background on android devices,password cannot be recovered,1.0
extremely bad service .,app does not recognize email and password,1.0
it is just taking a lot of time to connect to meetings,want to see more than 4 screens,1.0
can not set photos,want to create regestration,1.0
good for meetings and bible study,internet loads badly,1.0
zoom is now better and more stable,want to renew subscription,1.0
how to turn on the sound?,want to add background wallpaper features,1.0
it is impossible to enter a conference,easy to set up,1.0
the audio is cut off.,class gets disconnected,1.0
the game lags a lot and the graphics are bad,app is very bad for live streaming,1.0
the application is nice but you need turkish language support,want to connect to user account,1.0
difficulties with registration and login,unable to load the android app,1.0
i can not put a picture on the zoom profile,want to join imported class,1.0
"it is cool and convenient, especially on distance learning",want to change settings like background picture,1.0
it is rather annoying because when you want to attend a meeting it just comes up that the app needs updating.,want to use mobile version,1.0
it is very easy to join,ui/ux is good,1.0
but do not connect and says error problem,want to turn on sound and camera,1.0
sign in to the correct email password and it just shows the wrong email or password,want to lock the microphone,1.0
i am downloading zoom from 2 days but it is not getting downloaded.,unable to play offline videos,1.0
zoom cloud meetings is easy for anyone to do,want arabic language support,1.0
unable to share link,want to install bgt,1.0
i am able to use green screen on samsung mobiles,app is not good,1.0
nice app but remove videos option,new zoom feature is good,1.0
older version was far better than this new.,zoom does not cater for android users,1.0
it is simply impossible to study!,want to work from computer,1.0
it is nice especially in an ipad,want to transfer user data to tsar,1.0
i am wondering how i change my email address .,app is lagging while playing video,1.0
the ui can be improved,want to remote control screen from ipad,1.0
please there is a recording feature in mobile users,installation error occurs,1.0
"whenever i switch to other apps , i automatically get logged out of the meeting",have to login every time after exiting the app,1.0
poorest service very disappointed,best quality from all streaming platforms,1.0
i could not install this app on my phone!,want to focus on breakout,1.0
it is very easy to login,unable to enter profile pin,1.0
"great video quality, no lag",want share only sound option,1.0
it has no recording option,want to paste code in while logging in,1.0
i faced this problem: there is no sound when sharing the screen.,want to connect to facebook,1.0
the pc version is very good.,want to record on ipad,1.0
such a bad app for childrens,want to control iris with samsung tablet,1.0
bad app this only gives 40 minutes of meeting,want to switch to paid content,1.0
this app is best for online class conducted by school .,pen is not working,1.0
can anybody tell me how to make our id in zoom,good for distance learning,1.0
not having india's flag in emoji section,app has bad graphics,1.0
can not connect to our service,want to add a section to add notes,1.0
the audio quality should be better.,installing a backdrop is difficult,1.0
"the best app for video calls and online meetings, much better and easier than google meet, quite good for meetings at work and online classes",want to find face filters,1.0
please improve audio and video quality.,need arabic language subtitles,1.0
does not open a link to viber,app is not working for 2gb smart phones,1.0
"very useful, and convenient for school meetings, etc.",good app for sports,1.0
where is the sound button?,want to delete the app,1.0
i am unable to login to my zoom id even when i have logged into my gmail account,unable to delete public messages,1.0
"it is unstable, the audio is being cut off and the image freezes.",conference room without password,1.0
i am unable to blur my background..,want to write because the pen pressure is cutoff,1.0
"it is only working on mobile data , it is not working on wifi",mirror mode is horrible,1.0
one of the best app for online class.. but only 45 min we can do.,want to share link,1.0
how can i change the time limit?,want to use virtual background for samsung galaxy tablet s6,1.0
i find it difficult to update my zoom cloud meeting,want to watch tv shows,1.0
this app is not installed in my playstore,want to turn on self video,1.0
"it is really annoying that zoom still auto-rotates the meeting ui, even though my tablet's auto-rotate setting is turned off.",want to cast zoom into television,1.0
it automatically gets sign out and i have to sign in again and again 3),want to save meeting lists,1.0
there should be a way we can cast zoom into a tv.,graphics is bad and is difficult to get currency of the game and matchmaking is bad,1.0
the updated app is not installing on my phone after the update.,receiving incorrect password message,1.0
after update zoom meeting not starting.,want to get sharing device screen control option and pip mode,1.0
please help me issue a refund.,want to change image,1.0
it is way better than microsoft teams!,want to connect to zoom,1.0
i tried repeatedly pressing the join audio button and nothing worked.,want to modify camera quality,1.0
this is a very nice app for interview & meeting.,want to select profile,1.0
how to set dp on zoom meeting,want to setup camera,1.0
but i want to know how can i record the meeting??,screen flickers sometimes,1.0
"but there is no ""zoom"" the video in zoom app.",want to take part in class on iphone,1.0
and i can not communicate with friends,want to hear audio without switching on microphone,1.0
zoom and the best solution for working remotely,want to register and facing audio and video quality issues,1.0
can you give me indonesian language ?,app takes too much memory space,1.0
"i see an approval error, but what is the problem?",break room feature is not available on mobile version,1.0
i can not register and unmute the conference,want to connect to the conference,1.0
there is no ukrainian flag in emoji,desktop version is bad,1.0
"the app is terrible, do not download this discord mess a billion times better!",sound is disabled by default,1.0
so you can delete your posts,app is bad for time management,1.0
the quality of the images is not good.,app downloading is too late,1.0
does not work properly on windows 11,want to login and unable to get virtual background option,1.0
"but sometimes the screen flickers, the screen freezes, or i can not see any activity at all.",want to log in and sign up for membership,1.0
he will not let me put filters,want to own a laptop,1.0
"this app is one of the most modern ""facetime"" apps.",want to remove video option,1.0
do not pin videos when someone is sharing the screen (can not pin anyone while someone is sharing screen),want to find app on playstore,1.0
love it keeping in touch with family,virtual baground is not working,1.0
zoom is comparatively good in terms of ui and features.,want spanish language support,1.0
please tell how to connect audio with bluetooth speaker in android.its not connecting,want to synchronize,1.0
but 1 - you can not delete zoom chat messages,app performance needs improvement,1.0
in my phone i am not getting background features,advertisements are bad,1.0
"when using this application, the device is very hot.",unable to connect to internet,1.0
can not record audio .,want to use exclusive skins,1.0
i am not getting the blur option,video quality is good,1.0
"i have online classes and since a few days, this app is not working properly.",want to play in cooperative mode,1.0
worst ping issue in this app,want to change two factor authentication settings and authenticator app,1.0
i forgot how to create a link,app screen sharing feature is slow,1.0
it take high speed network.very bad app,unable to view live matches,1.0
your data is not safe on this app.,want to record points,1.0
it makes remote meetings easier,switching the session between devices,1.0
"he often does not let me into the confib because i allegedly write an incorrect config code, although everything is correct",ads are annoying,1.0
it sucks with bad xd graphics,want update notifications in advance,1.0
so basically when i try to add contacts it does not work,app is not working frequently,1.0
i can not find the background settings when i update it,video and audio do not sync,1.0
there is the ability to switch from computer to phone.,want animated profile picture,1.0
"please update this, so that face filters work on things like ipad minis and such.",want to turn on the phone,1.0
"sign in with sso is not working, ios 15.4",video freezes,1.0
will not download from the appstore,want to contact in settings,1.0
the volume control is not working.,want to limit the audible alert when participant enters the waiting room,1.0
the audio settings to connect should be automatic.,want to get virtual background option and unable to join meetings,1.0
i never know what is the zoom password?,getting ads frequently,1.0
i too had problems after the update and could not fix it no matter what i tried!,want to exchange cards,1.0
unable to connect audio over cellular/wifi,want to register in zoom,1.0
for some reason i do not understand when the download reaches 100% i get a message that the application cannot be installed,disney plus is bad,1.0
my zoom cloud meeting is not download,unable to get next episode button,1.0
just needs a little bit more security,poor quality of product,1.0
please add an option to lock orientation of the screen or adjust it.,want to have more options on phone,1.0
"when i type my number in that zoom asks for, it tells me my number is incorrect.",want to enable original voice,1.0
"since the upgrade, i can not get into breakout room",not suitable for distance learning,1.0
no option for chating,poor quality of education,1.0
"this app is amazing,we can screen share also",want to change email address,1.0
but whenever teacher screen share sometimes it is blackscreen,android phone and android filter are bad,1.0
"there are other problems too like poor video quality, voice quality and connecting problems.",want a different picture setting for privacy,1.0
please note that share screen does not work in zoom with android.,app is not compatible on tablet,1.0
"finding it very difficult to download it, takes a lot of mb.",want to switch between computer and phone,1.0
when host removed me from the meeting i can not join please do something,unable to play video on espn+,1.0
good add more features,want to access account,1.0
how i set my profile pic at zoom,want to connect audio,1.0
"poor connection of both video and audio, inconvenience of use, can not register normally, constant crashes and freezes.",good quality of meetings,1.0
you should like the option that you can put wallpaper on cell phone,good for learning and for social meetings,1.0
i do not know how to download this video,want to lock a breakout room from inside,1.0
but it would be best if we had the option of sharing only sound through android devices as well.,app is slow and facing issues with audio,1.0
it would be interesting to be able to create a scheduled meeting,want to organize session rooms on ipad,1.0
i enter the identification code and give an error.,want to rotate slides properly,1.0
"if the desktop version can still be used at the very least, then the application is generally useless",want to change payment method,1.0
i try to log into a meeting the app says update,want to stop animal abuse,1.0
nice and easy to make a meetings.. hope everyone can know how to use this,unable to sign up for hulu,1.0
audio on the headset does not work,unable to hear audio after update,1.0
there is no touch up appearance option for android devices,unable to continue the episode,1.0
it is tough to understand the app,password is not working,1.0
i do not know how to enable co-host and is a bit laggy.,video recording quality is poor,1.0
i forget my password and tried to set new password via email,unable to download zoom app,1.0
why does it rotate even if you turn it off?,good for visiting loved ones,1.0
it does not have dark mode,want to write messages,1.0
the app is really good but the chat section is so bad.,unable to watch matches with subscription,1.0
"it is been 2 days, why is the zoom not working?",want to copy and paste password,1.0
and pls add virtual background for tabs,want anime content,1.0
good app but no background why ?,good for remote management,1.0
"my zoom app has refused to update even when there is data and network, and i have a very important zoom meeting to attend today, pls can you people help",want to record youtube video,1.0
my zoom app has not install plz hlp me,want to know why the review was deleted,1.0
very nice and clean graphic app,unable to auto play next episode,1.0
excellent online means of communication.,app throws me out of class,1.0
the video is regularly frozen,want double speed playback,1.0
why is the microphone turned on from the very beginning?,want to download from google,1.0
sometimes the screen freezes,test mode does not work,1.0
"although i wrote the conference number and the code correctly (which was sent over hundreds of networks), but it writes the wrong code.",want to use backgrounds,1.0
"with the app i can not share the sound at the time of screen sharing, they could help me.",unable to install app on android phone,1.0
unable to enter classes because of problem 104101,unable to load shows,1.0
"recently when I am running a macbook meeting, i can not share my ipad screen.",unable to watch live matches and movies,1.0
how do i increase the volume ?,facing error codes frequently,1.0
i was thinking maybe you could add a profile picture option for group chats as well,want to reduce the size of app,1.0
"i love zoom, but for the better, i think zoom should be for users to use on multiple devices.",app crashes when entering the app,1.0
and you can not share audio on the tablet?,voice is mute,1.0
i can not log in while updating!,want to connect from android,1.0
definitely recommend microsoft teams instead,want to know the status of the owl house season two,1.0
its not connecting to internet,unable to view video on hulu,1.0
how to save data or use less,facing connectivity issues and unable to pin in phone,1.0
but it has continued to charge me for subscription that i thought was canceled.,virtual background is not available in octacore processor,1.0
"even if i set the speaker volume to low, it sounds too high",greek language is absent,1.0
this app is very helpful to collaborate with friends welcome,unable to view ipl for free,1.0
"i am having problems finding my recording after i recorded a zoom meeting on my samsung tablet, please help me",want to use face filters on ipad,1.0
the desktop version is terrible since the last update.,want to get chat option,1.0
when I am in an important meeting i recommend adding a notification that reminds you when the new update will come,chat feature needs improvement,1.0
it would be nice if more users can be seen on the screen at once.,conference is crashing,1.0
can not hear videos or see videos,audio keeps going out of sync,1.0
great way for large groups to come together!!,worst application for students,1.0
shows error code very often,app security needs improvement,1.0
this app is very expensive to learn study online classes,app is splashed out while the network is good,1.0
it is the worst app for school students..,video quality needs improvement,1.0
it helps me a lot with regards to my spiritual needs.,videos download time is slow,1.0
"still does not allow choosing background filters from mobile devices, very inconvenient",want to hear audio on headset,1.0
bt i could not record my session via mobile,screen flickers on ipad,1.0
it works fine but sometimes the zoom server crashed i leave it to be fixed please,good for meeting loved ones,1.0
i can not talk in class,app has good content for whole family,1.0
"the quality of the meetings, both sound and image, are good.",unable to use hotstar on android tv,1.0
"many times the sound is not activated in the meeting, please correct it",want to record audio,1.0
"when i write the correct access code, it writes what is wrong and try again.",unable to join,1.0
i have not been able to enter the room,resetting did not work,1.0
i do not know how to enter a zoom meeting.,better than netflix,1.0
somehow it works better on cell phone than on my laptop,good background effects and good quality video,1.0
i can no longer pass classes,want to upload profile picture on ipad,1.0
there is a problem where i am not allowed to use zoom on mobile.,want to enter card information,1.0
does not want to register and cannot join the conference,want to download the app,1.0
will not connect on my new iphone 12,unable to communicate with customer service,1.0
not able to receive virtual call with physician office without connection issues!,unable to stream on chromecast,1.0
"zoom just withdraw money from my account without any notification, just an invoice of payment i did not make, they really need to stop that",want to change name,1.0
"just when I am about to join an important meeting, i can not access zoom because of a mere update..",unable to delete message in zoom chat,1.0
love the video sharing experience,troubleshooting did not help,1.0
"hope the developer optimizes the application better for this table line, and should update the language switch section in the application.",want to add profile picture when the camera is off,1.0
pls teach me how to change pfp on zoom,receiving error after entering correct identification code,1.0
before updating its nice but not now i have many connection issues after updating this app,screen becomes black except for the little man icon in center,1.0
very low quality meeting app.,zoom freezes the image and sounds,1.0
"not able to log in ,my account is locked",want to view virtual images after updating the app,1.0
but whenever i join the meeting and then if i want to go to other app then host voice is completely inaudible and after 2-3min it disconnected..,joining the meeting is time consuming,1.0
so i keep tapping and the unmute button still does not appear,unable to turn off subtitles,1.0
there should be a option of co host in android.,app is slow and mute button is unresponsive,1.0
but in android phone there is not available record option.,want to connect to camera,1.0
"i keep bouncing that my session has expired, but i hit some bugs and fix them",app locks up frequently,1.0
free fire can not be played in,difficult to download,1.0
"if you use it through the mobile app, you do not receive files from other people in the chat",want to increase meeting time limit,1.0
"i can not turn the sound off, i can not turn it on.",saved passcodes are not working,1.0
i could not download it to my tablet even though i had previously used it without problems.,want to use background and filters for android,1.0
how do i get to a conference if i can not log in?,unable to play highlights,1.0
better viber than zoom,unable to watch all content,1.0
"the application is just disgusting, it constantly lags the sound despite the fact that i have a samsung galaxy s21 phone!",skype is better,1.0
but you can do so that you can put an animated gif picture and not just a photo.,easy to use without having to memorize kuji,1.0
the truth is that my zoom is very good what i would like is to be able to put the profile picture,uploading video shows black screen,1.0
it is a very good application but it locks up and takes me out,account is deleted,1.0
but i give it 4 stars because they should correct the problem that when they take you out of a meeting it will not let you back in,poor reviews,1.0
it is not possible to have calls by other applications at the same time when you are connected to the zoom,screen sharing quality is good,1.0
"the graphics are very bad, and it takes time to load the skins",unable to use on moto g20,1.0
"you either have sound, microphone, or camera will refuse to turn on.",want to increase audio,1.0
so this app is horrible because people hack into it,total subscription amount is wasted,1.0
i hope that there is a pip mode.,want to use 3g network,1.0
the app is easy to use but sometimes my mic and camera does not work on zoom.,want to control audio from app,1.0
sound cuts in and out if more than one person speaks/makes noise at the same time.,good for yoga,1.0
i can not turn on video in the meeting.,unable to download and update,1.0
i try to join & screen goes black with the 4 squares showing only.,want to hear audio without headphones,1.0
suggestion can you also add an option where we can change or blur background in all android phones?,facing issues with downloads,1.0
"instead of sending the audio to my headphones, what i assume is the bluetooth option sends the audio to my phonecall speaker (I would have to hold the phone to my ear).",want to add photo,1.0
plans are very much expensive.,mic does not turn off after call is done,1.0
wish i could customize my background,good for group meeting,1.0
do not trust the privacy of this app.,uninstalled the app,1.0
provide screen recording features without permission of host,too many ads in app,1.0
there is a problem on bluetooth audio and device audio.,unable to login,1.0
"terrible app, not optimized, works terrible",unable to meet google,1.0
looking forward to adding the background to the zoom meeting,good for family and friends,1.0
this is a very helpful app for my online classes but it so lag and so much time taken for connection,app has audio and sound errors,1.0
not able to join any meeting smoothly after every minute my zoom disconnects and shows error,speaker is not working properly,1.0
and it keeps taking me out of my meeting,unable to use vpn,1.0
the microphone itself makes strange noises.,want to access chat room,1.0
add virtual green screen on android please,good for zoom,1.0
this app will not let me register with facebook or my google account.,call quality is good,1.0
it gives an error 403 and does not allow you to enter.,want to change background during video call,1.0
it is no longer compatible with my tablet,good for remote conferences,1.0
it is just that sometimes the transmission is interrupted.,want to go back after clicking on effects section,1.0
"the missions are difficult and confusing, you level up very slowly and you are lost all the time and the one who delivers the missions does not stop talking, the game is very bad.",easy to login for kids,1.0
it is impossible to write because the pen pressure is severely cut off and the lines are printed out sharply,want recording option in mobile,1.0
"interactive handwriting was the biggest merit, but i could not write it because it was blocked.",app is user-friendly,1.0
please remove the left and right flipping function.,app is not working,1.0
"i can not get panting because i use a supercomputer, but the zoom on my phone is a guggie computer",want to open virtual background,1.0
terrible quality of the transmission of the meetings.,want to put background on the app,1.0
please loosen or lower the age limit for zoom,want to connect to people,1.0
"the app is very good, but the decision to disable airplay and other screen mirroring devices was a terrible one.",app performance is bad,1.0
"overall, controls become more complex and difficult",camera is not working,1.0
after several downloads and removals the language of the app is still russian!,want to register for eucharist,1.0
"since then, i can not turn on the video well.",want to hear audio without filtering,1.0
audio problems are endless but what is really bothering you in the last week is that when i schedule a meeting through the mobile app it does not appear on the website's meeting list anymore!,poor organization of functions,1.0
"everything was fine before but now after i re-installed, it is not supported on my ios",app developers need to turn on sound when logging in,1.0
but i want my screen to be mirrored even when others see it.,want to login to meeting,1.0
i can not access any meeting links,want to get laptop charger,1.0
"if you use zoom on mobile (usually used with an ipad), the zoom participant screen will continue to blink in recent years.",battery consumption is high,1.0
i could not cancel the payment as scheduled.,want integration with password manager,1.0
please cancel the requested transaction.,hotspot is not working during peak hours,1.0
i am not able to share whiteboard from iphone.,good app for communication and learning,1.0
cannot use zoom as a vip paid user.,worst paid subscription service,1.0
"horrible, you do not have an icon to transmit screen (mirror),, horrible the application for that",want to fix error 1132 on ipad,1.0
"when i mirror in the video settings, the view i see is mirrored, but i can not mirror it to other participants; it is really uncomfortable!",app glitches frequently and takes up large memory space,1.0
"they can put the option to exit the application and continue to appear the video, as well as on the screen, there are some annoying bugs.",bad app for children,1.0
you should add more background and face stickers,do not want to use the app,1.0
